ds,yhat
2021-06-30,8999.695589320061
2021-07-01,7386.703661649795
2021-07-02,5307.721972007872
2021-07-03,5817.739056882311
2021-07-04,13377.80842376997
2021-07-05,14233.949834768007
2021-07-06,11871.563584989657
2021-07-07,10707.94122198943
2021-07-08,8970.368291650972
2021-07-09,6721.383173872474
2021-07-10,7020.925428658493
2021-07-11,14336.139866861971
2021-07-12,14920.10149384301
2021-07-13,12266.025455957875
2021-07-14,10799.551266957213
2021-07-15,8756.603394430793
2021-07-16,6208.399241275359
2021-07-17,6223.345190715748
2021-07-18,13276.594243528038
2021-07-19,13628.537564153445
2021-07-20,10778.800878962687
2021-07-21,9158.341263073515
2021-07-22,7007.151916668479
2021-07-23,4399.150585833336
2021-07-24,4403.995877616255
2021-07-25,11496.607433202807
2021-07-26,11935.663490579142
2021-07-27,9217.64673385906
2021-07-28,7769.032658010568
2021-07-29,5824.125511608551
2021-07-30,3450.1137763107054
2021-07-31,3709.084679740028
2021-08-01,11067.768031885535
2021-08-02,11776.276482657233
2021-08-03,9322.406089088014
2021-08-04,8124.084037997339
2021-08-05,6407.461043185641
2021-08-06,4232.212889232091
2021-08-07,4653.783406564455
2021-08-08,12133.33243988817
2021-08-09,12916.649860338657
2021-08-10,10488.594320151149
2021-08-11,9265.639416509266
2021-08-12,7474.021739574718
2021-08-13,5175.053457904765
2021-08-14,5427.33119045827
2021-08-15,12696.605492801235
2021-08-16,13234.574057540493
2021-08-17,10533.160604905526
2021-08-18,9016.866545802912
2021-08-19,6920.695319999359
2021-08-20,4315.21835156801
2021-08-21,4268.52133986183
2021-08-22,11255.802666682452
2021-08-23,11537.894741345219
2021-08-24,8615.278031322798
2021-08-25,6920.182456964789
2021-08-26,4694.283257752399
2021-08-27,2013.566876389682
2021-08-28,1950.1245315874776
2021-08-29,8981.584422995818
2021-08-30,9369.588530560946
2021-08-31,6613.754918323582
2021-09-01,5143.787176562967
2021-09-02,3197.224912304122
2021-09-03,844.4094530988095
2021-09-04,1150.4066303709642
2021-09-05,8584.659401189943
2021-09-06,9399.639908727837
2021-09-07,7085.067337017912
2021-09-08,6060.28077103133
2021-09-09,4552.2667783693005
2021-09-10,2620.908152294175
2021-09-11,3321.187783646159
2021-09-12,11113.112572868813
2021-09-13,12240.619408001694
2021-09-14,10186.02248004246
2021-09-15,9362.584750868806
2021-09-16,7992.70776680372
2021-09-17,6133.301760546753
2021-09-18,6838.066666577062
2021-09-19,14567.44686621482
2021-09-20,15567.52089834041
2021-09-21,13324.385943602198
2021-09-22,12256.621741902103
2021-09-23,10593.33123458784
2021-09-24,8399.324136121646
2021-09-25,8737.179361461023
2021-09-26,16076.955313925831
2021-09-27,16674.81616676429
2021-09-28,14027.141354513347
2021-09-29,12562.710641491922
2021-09-30,10520.469846023567
2021-10-01,7974.451069778925
2021-10-02,7995.590644611355
2021-10-03,15061.220522933152
2021-10-04,15433.507212743627
2021-10-05,12613.410520390875
2021-10-06,11032.758456508644
2021-10-07,8931.946201693121
2021-10-08,6384.834556488104
2021-10-09,6460.5913803852345
2021-10-10,13633.250753913493
2021-10-11,14160.261723451127
2021-10-12,11536.595472078616
